,fighter2,win_fighter2,lose_fighter2,draw_fighter2,nc_fighter2,reach_fighter2,SLpM_fighter2,SApM_fighter2,Str_Def_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,Sub_Avg_fighter2,win%_fighter2
335,Caol Uno,26,15,5,0,"70""",1.91,1.9,50.0,1.95,31.0,0.5,56.52174
2972,Carla Esparza,14,6,0,0,"63""",2.2,3.07,53.0,3.4,35.0,0.4,70.0
1808,Carlo Prater,30,12,1,0,"72""",2.03,4.07,35.0,0.43,9.0,1.7,69.76744000000001
1189,Carlos Condit,30,12,0,0,"75""",3.62,2.36,57.0,0.59,55.0,1.1,71.42857
1535,Carlos Eduardo Rocha,9,2,0,0,"70""",1.24,1.85,55.0,0.0,0.0,1.4,81.818184
228,Carlos Newton,16,14,0,0,,0.65,1.55,44.0,2.47,70.0,0.9,53.33333199999999
4182,Carls John De Tomas,8,2,0,0,"71""",1.74,3.93,44.0,1.37,33.0,0.0,80.0
740,Carmelo Marrero,14,5,0,1,"73""",0.84,2.04,54.0,3.21,36.0,0.9,70.0
2191,Caros Fodor,7,3,0,0,"76""",2.76,2.83,54.0,2.1,25.0,0.0,70.0
2229,Cat Zingano,10,3,0,0,"68""",2.56,1.61,46.0,2.81,65.0,0.9,76.92308
2788,Cathal Pendred,17,5,1,0,"75""",2.49,3.01,55.0,2.46,23.0,0.4,73.91304000000001
3412,Cesar Arzamendia,7,4,0,0,"71""",5.37,5.2,56.0,7.32,75.0,2.4,63.636364
196,Cezar Ferreira,14,7,0,0,"78""",1.83,2.14,55.0,2.97,59.0,0.5,66.666664
1897,Chad Griggs,11,3,0,0,"73""",2.67,2.22,46.0,1.51,66.0,0.0,78.57143
54,Chad Laprise,14,3,0,0,"71""",4.77,3.6,64.0,1.07,54.0,0.0,82.35294
1538,Chad Mendes,18,4,0,0,"66""",2.76,2.14,68.0,4.08,54.0,0.3,81.818184
682,Chad Reiner,28,13,0,0,,0.53,1.97,46.0,0.99,33.0,2.0,68.29269000000001
501,Chael Sonnen,29,14,1,0,"74""",3.08,1.1,62.0,3.81,59.0,0.4,65.90909
1580,Chan Sung Jung,14,5,0,0,"72""",4.12,3.81,60.0,0.81,41.0,0.7,73.68421
4513,Charles Byrd,10,5,0,0,"73""",3.92,1.59,62.0,2.58,57.0,1.9,66.666664
1430,Charles Oliveira,24,8,0,1,"74""",3.04,3.0,54.0,2.87,41.0,2.8,72.72726999999999
2890,Charles Rosa,11,3,0,0,"69""",3.85,4.0,51.0,2.93,34.0,1.1,78.57143
1635,Charlie Brenneman,19,8,0,0,"72""",1.52,1.55,46.0,4.23,42.0,0.0,70.37037
35,Charlie Ward,3,3,0,0,"73""",1.64,7.21,53.0,0.0,0.0,0.0,50.0
3384,Chas Skelly,17,4,0,0,"72""",2.12,3.49,47.0,1.83,34.0,2.3,80.95238
78,Chase Sherman,11,6,0,0,"78""",5.81,5.76,51.0,0.0,0.0,0.0,64.70588000000001
1892,Che Mills,15,5,0,2,"76""",2.08,2.87,43.0,1.18,66.0,0.0,68.181816
638,Cheick Kongo,29,9,2,0,"82""",3.33,1.28,54.0,2.3,56.0,0.2,72.5
2376,Chico Camus,14,7,0,1,"66""",2.58,2.46,64.0,0.77,40.0,0.4,63.636364
3847,Chris Avila,5,4,0,0,"72""",2.37,4.17,48.0,0.0,0.0,0.0,55.55555699999999
3331,Chris Beal,10,3,0,0,"69""",3.45,3.18,61.0,1.6,58.0,0.2,76.92308
225,Chris Brennan,19,13,1,0,,0.6,0.97,50.0,0.0,0.0,2.1,57.575756000000005
1830,Chris Camozzi,24,13,0,0,"76""",3.57,2.96,56.0,0.27,19.0,0.5,64.86487
1531,Chris Cariaso,17,8,0,0,"63""",3.35,2.23,61.0,1.11,39.0,0.8,68.0
1901,Chris Clements,12,6,0,1,"70""",3.2,2.37,44.0,0.0,0.0,0.3,63.15789399999999
1752,Chris Cope,5,4,0,0,"72""",3.96,4.82,50.0,0.0,0.0,0.0,55.55555699999999
2786,Chris Dempsey,11,4,0,0,"72""",2.25,2.82,65.0,2.64,23.0,0.0,73.333336
3445,Chris Gruetzemacher,14,3,0,0,"68""",7.12,5.09,56.0,0.0,0.0,0.0,82.35294
315,Chris Haseman,20,16,0,0,,0.93,4.67,28.0,0.0,0.0,2.0,55.55555699999999
2831,Chris Heatherly,9,3,0,1,"68""",1.08,2.67,52.0,3.39,50.0,0.7,69.23076999999999
2637,Chris Indich,5,3,0,0,"73""",1.31,4.32,43.0,0.75,50.0,1.5,62.5
2904,Chris Kelades,9,3,0,0,"68""",2.4,2.64,48.0,1.04,18.0,0.3,75.0
492,Chris Leben,22,11,0,0,"74""",2.87,2.87,52.0,1.14,41.0,0.8,66.666664
502,Chris Lytle,31,18,5,0,"68""",3.76,3.03,58.0,0.7,55.0,2.4,57.40740600000001
